Enum	Text
CAPTAIN_WIN	[eaddc0]The enemy captain [-][ff3829]{0}[-][eaddc0] was killed by [-][5589ff]{1}[-][eaddc0], our team wins!![-]
CAPTAIN_WIN_OVERTIME	[eaddc0] The game time is up, our captain has a high HP, and our team wins
CAPTAIN_LOSE_OVERTIME	[eaddc0] When the game time is up, the enemy captain has high HP, and the enemy team wins
CAPTAIN_ROUND	Enter the next round after {0} seconds
CAPTAIN_END	Checkout in {0} seconds
CAPTAIN_SINGLE_MATCH_TIP	Team status, unable to perform single match
CAPTAIN_PLAYERS_DIFFERENT_SERVER	The player is not on the same server as you and cannot be viewed
VoiceQA_Title1	lucky quiz
VoiceQA_Title2	National Quiz Party
VoiceQA_Title3	Guild Quiz Party
VoiceQA_Enter_Description_0	The answer is over, thank you for participating, whether to enter the room to chat before the end
VoiceQA_Enter_Description_1	Congratulations on your lucky quiz opportunity {n} to get a great reward for answering the question correctly!
VoiceQA_Enter_Description_2	Welcome to the National Quiz Party! {n}You can get a lot of rewards for answering the questions correctly{n} and make new friends!
VoiceQA_Enter_Description_3	Welcome to the Guild Quiz Party! {n}Get a lot of rewards for answering the questions correctly{n} and meet new guild friends!
VoiceQA_Start_Description_1	Congratulations on your lucky Q&A opportunity, get ready for the event to begin!
VoiceQA_Start_Description_2	Welcome to the National Quiz Party event, please get ready, the event is about to start!
VoiceQA_Start_Description_3	Welcome to the guild quiz party event, please get ready, the event is about to start
VoiceQA_AutoPlay_Error	Your current settings only automatically play the voice in the wifi environment, and you cannot turn on the automatic playback.
VoiceQA_EnterRoomInfo	Joined the Quiz Party Room
VoiceQA_Guild_Tips1	can be turned on later
VoiceQA_Guild_Tips2	end after opening
VoiceQA_Guild_Tips3	Today's Guild Quiz Party {n} has ended
VoiceQA_Guild_Tips4	Missed opening time
VoiceQA_Guild_Tips5	Quiz party has not started yet
VoiceQA_Guild_Tips6	Missed opening time{n}Answering party failed to start
VoiceQA_Guild_Tips7	Not at the opening time of the event
VoiceQA_Guild_Tips8	The president has not started this event yet
VoiceQA_Guild_Tips9	Today's guild quiz party is over
VoiceQA_Btn_Text0	HallWord_dtz
VoiceQA_Btn_Text1	HallWord_xywd
VoiceQA_Btn_Text2	HallWord_qmpd
VoiceQA_Btn_Text3	HallWord_ghpd
VoiceQA_End_Description1	There are a total of [ffdc00]{0}[-] questions this time, and the correct answers to the [ffdc00]{1}[-] questions
VoiceQA_End_Description2	Unfortunately, the number of players participating in the rush answer is insufficient, and the event has to be terminated T_T
VoiceQA_Enter_btn1	join now
VoiceQA_Enter_btn2	I am very busy
Multiple_times_2	[b][00be16] Double
Multiple_times_3	[b][0096ff]triple
Multiple_times_5	[b][ff8718] Five times
Multiple_times_8	[b][ff3615]Eight times
VoiceQA_quick_1	fastest
VoiceQA_quick_2	lead
VoiceQA_QuestionNumber	Question {0}:
KILL	kill
DEAD	die
ASSIT	help
CAPTAIN_WEEK_REWARD	Get {0} victories every week to claim rewards, current victories: {1}
FLOWER_CHATDLG_OWN_COUNT	(owns {0})
FLOWER_CHATDLG_MAX_TIMES_ERR	Reached the limit for claiming today
FLOWER_SEND_TYPE_0	Red rose
FLOWER_SEND_TYPE_1	White Rose
FLOWER_SEND_TYPE_2	blue enchantress
FLOWER_SEND_OWN_COUNT	Backpack remaining {0}
FLOWER_SEND_TIP	A {0} flower can get {1} Charisma points
FLOWER_UNIT	Duo
FLOWER_SEND_SUC	You give the other person {0}flowers{1}(^_^)
FLOWER_SEND_ERR_SELF	I can't give it to myself
FLOWER_SEND_LOG	Increase TA's charm {0} points
FLOWER_SEND_NOT_ENOUGH	You are about to send {1} flowers to {0}, and you currently lack {2} flowers. Do you want to use {3}{4} to replenish and give them to TA?
FLOWER_SEND_NOT_ENOUGH_LEFT	go to buy
FLOWER_SEND_NOT_ENOUGH_RIGHT	use {0}
FLOWER_SEND_FAIL	The flowers were not sent out, please try again~
FLOWER_SEND_GO_TO_MALL	There is not enough {0} in your backpack, please go to the diamond store to buy
FLOWER_QUICK_THX	hello~ thank you good man
FLOWER_NO_RANK_TIP	what the hell! Still no one on the list? so boring~
FLOWER_MALL_NOT_OPEN	The mall is not open yet
FLOWER_ACTIVITY_TIP4	The top 10 on the list will get an exclusive title
FLOWER_ACTIVITY_TIP1	The list resets every Monday at 5:00 a.m.
FLOWER_ACTIVITY_TIP2	The top 10 on the list can get limited-time fashion
FLOWER_ACTIVITY_TIP3	Rewards are sent by mail!
FLOWER_ACTIVITY_AWARD_RANK	10
FLOWER_ACTIVITY_TIP5	2.15 0:00 The event ends, and if the Charisma value reaches {0} points, you can get the event participation reward
FLOWER_ACTIVITY_TIP6	1-10 rewards will be distributed by mail
FLOWER_SEND_SCENE_TIP	This scene cannot send flowers
HOLIDAY_TIP1	and {0} end
HOLIDAY_TIP2	Remaining times: {0}
HOLIDAY_TIP3	over
GUILD_SKILL_MAX_ALLMAX	Research limit reached
GUILD_SKILL_MAX_CURMAX	The research limit of the current guild level has been reached, please wait for the guild to upgrade before researching
GUILD_SKILL_UNDER_EXP	Inexperienced guild
GUILD_SKILL_MAX_UP_VALUE	Currently researchable to maximum level: {0}
GUILD_SKILL_LEVEL_FULL	full level
GUILD_SKILL_UPDATE	upgrade
GUILD_SKILL_GUILD_LEVEL_DOWN	Insufficient guild level
GUILD_SKILL_STUDY_LEVEL_DOWN	Insufficient research grades
GUILD_CHALLENGE_TIP	Team up with guild members in Abyss, Lair, and Dragon Ben to get a certain number of people to receive the corresponding stage rewards
GUILD_CHALLENGE_TILE_CONTRIBUTION	contribute
GUILD_CHALLENGE_TILE_EXP	Experience
GUILD_CHALLENGE_CANNOT	You can't get it yet, hurry up and challenge the dungeon
GUILD_SAME_IN	already in the same guild
GUILD_CHALLENGE_ERROR	received
ERR_GUILD_SKILL_LEVEL_FULL	This skill has been learned to the full level, try something else
ERR_GUILD_SKILL_STUDY_LEVEL_DOWN	To learn the next level, the guild administrator needs to increase the learning limit
ERR_GUILD_SKILL_GUILD_LEVEL_DOWN	After the guild is upgraded, you can study the next level of learning
DragonNestDifficult1	normal mode
DragonNestDifficult2	hard mode
OnlyCanEnterCurrentStage	You can only enter the level where the current progress is located
UnlockByFinishPreStage	Open after clearing {0}
UnlockByLevel	Level {0} on {1}
UnlockByPreDiff	Complete the previous difficulty mode to open
DragonNestNotPassTip	one hundred%
DragonNestHelpTip	In the Dragon Cave Challenge, every time you clear a level, your progress will be locked in the next level. Each level can only be cleared once until the weekly reset time. After the weekly reset time, everyone's progress will be reset back to the first level. You can challenge again from the first level.
IS_LOCK	not unlocked
IS_FINISH	Cleared
RESERT_TIME	Weekly reset time [b9ff3f]{0}
Monday	on Monday
Tuesday	Tuesday
Wednesday	Wednesday
Thursday	Thursday
Friday	Friday
Saturday	Saturday
Sunday	Sunday
ME	I
HIGH	high
MEDIUM	middle
LOW	Low
LEFT_REVIVE_COUNT	Scene resurrection times: {0}/{1}
RAN_OUT_OF_REVIVE_COUNT	Resurrection has been exhausted
REVIVE_FREE	free
REVIVE_COST_NOT_ENOUGH	Insufficient props, consume {0} instead?
TEAM_REFUSE_BATTLE	{0} refused to enter the battle
TEAM_INVITE_NOT_OPEN	The player has not unlocked the current level
TEAM_INVITE_NOT_SAMEGUILD	The current level requires players from the same guild to form a team
GUILD_ARENA_LAYOUT_MESSAGE	The president can drag and drop members to adjust the deployment lineup, and guild members can click on the vacancy to deploy to participate in the war. Please stay online during the event of participating members and enter the venue in time!
GUILD_ARENA_MESSAGE3	Finals start at 20:40
GUILD_ARENA_MESSAGE2	Semi-finals start at 20:20
GUILD_ARENA_MESSAGE1	The quarterfinals start at 20:00
GUILD_ARENA_OUTTIME	It's not time to enter
GUILD_ARENA_TIPS4	The participating guilds will be divided into three groups for the guild arena battle
GUILD_ARENA_TIPS3	The top 8 guilds in the points competition will be eligible to participate in the battle
GUILD_ARENA_TIPS2	Each guild can deploy five members for 1v1 wheel battles
GUILD_ARENA_TIPS1	All participating guild members can get rich rewards
GUILD_ARENA_UNJOINTIPS	Your guild is not eligible to participate, go and upgrade the guild
GUILD_ARENA_DEPLOYTIPS	Every Tuesday and Saturday at 12:00, the participating guilds open the deployment function
GUILD_ARENA_JOINTIPS	Announcement every Tuesday and Saturday at 12:00
GUILD_ARENA_TAB1	ring battle
GUILD_ARENA_UNLAYOUT	Not registered
GUILD_ARENA_TAB2	Points match
GUILD_ARENA_TAB3	peak match
GUILD_ARENA_COMBAT_TAB1	Group A
GUILD_ARENA_COMBAT_TAB2	Group B
GUILD_ARENA_COMBAT_TAB3	Group C
GUILD_ARENA_UNCOMBAT	bye
GUILD_ARENA_SIGN_LOW_LEVEL	Requires guild level 2 to register
GUILD_ARENA_SIGN_PROFESSION	Only the president or vice president of the guild can register.
GUILD_ARENA_UNOPEN	Event has not started
GUILD_ARENA_SIGN_SUCCESS	Sign up successfully
GUILD_ARENA_SIGN_HAVE	Sign up
GUILD_ARENA_SIGN_HAD	registered
GUILD_ARENA_OVER	Registration has ended
GUILD_ARENA_SIGN_SHOW	View the matchup
GUILD_ARENA_KILLER	Kill: {0}
GUILD_ARENA_TOTALKILL	Total kills: {0}
GUILD_ARENA_TOTAL_DAMAGE	Total damage: {0}
GUILD_ARENA_SIGN_TIME	Until the end of registration: {0}
GUILD_ARENA_TAB_PERSON	unmanned
GUILD_ARENA_TAB_FULL	The squad is full
GUILD_ARENA_UP_HINT_BY_KICKED	There are {0} seconds to play again
GUILD_ARENA_UP_HINT_BY_INSPIRT	There are {0} seconds to cheer up again
GUILD_ARENA_ROUNDWATTING	After {0}, prepare for the next round of battle
GUILD_ARENA_RED	[ef2717]{0}[-]
GUILD_ARENA_BLUE	[21b2ff] {0} [-]
GUILD_ARENA_FINALWATTING	After {0} seconds, the result will be settled
GUILD_SKILL_GUILD_LEVEL_LIMIT	Insufficient guild level
GUILD_SKILL_STUDY_LEVEL_LIMIT	Insufficient guild skill research level
GUILD_ARENA_INDEX	{0} session
GUILD_ARENA_ROUNDLABEL	Round {0}
GUILD_ARENA_RESURGENCE	Resurrect after {0}
TEAMTOWER_STARTLEVEL	Start layer {0}
TEAMTOWER_REACH_LEVEL	Sweep to level {0}
MulActivity_Tips1	The event is over
MulActivity_Tips2	Remaining time {0}
MulActivity_Tips3	{0}~{1} open
MulActivity_Tips4	Open all day
MulActivity_Tips5	Not enough
MulActivity_ShowTips1	This event requires the character level to reach {0} level to open
MulActivity_ShowTips2	This event requires guild level to reach {0} level to open
MulActivity_ShowTips3	Haven't joined a guild yet. Would you like to join a guild?
MulActivity_ShowTips4	The event has ended
MulActivity_ShowTips5	The event has not started today
MulActivity_ShowTips6	Event has not started
MulActivity_ShowTips7	Exhausted for today
MulActivity_ShowTips8	not yet joined the guild
MulActivity_ShowTips9	Character level {0} required
MulActivity_ShowTips10	Guild level {0} required
MulActivity_ServerOpenDay	Open in {0} days
MulActivity_ServerOpenWeek	Open in {0} weeks
CantBroadCastCausePassword	The room has a password and cannot shout
JADE_HOLE_LIMIT	Only {0} level equipment can open the {1} dragon jade hole
JADE_LEVEL_LIMIT	Equipment of level {0} or above
SWEEPPPT_NOTENOUGH	The current combat power does not meet the sweeping conditions
SWEEPTICKETS_NOTENOUGH	Insufficient sweep rolls to sweep
ERR_GUILD_EXP_LIMIT	Insufficient remaining experience in the guild
TEAM_REFUSE_INVITATION	{0} declined the invitation
TEAM_QUICKBATTLE_DISMISS	{0} canceled the battle, the system is continuing to find battles for you
TEAM_MATCH_BTN_NORMAL	match team
TEAM_MATCH_BTN_QUICK	quick start
TEAM_LEADER_CHANGE_EXP	Captain changed the level to {0}
TEAM_SHOULD_LEAVE_TEAM_CONFIRM	Do you want to leave the team and continue?
ERR_REVIVE_MAXNUM	This level is not yet open for resurrection or the number of resurrections has been exhausted
BOSSRUSH_REF	{0}/{1}
BOSSRUSH_DIFF	Challenge Difficulty [ffffff]{0}[-]
BOSSRUSH_TIL	Battle {0}
BOSSRUSH_DIF1	[00e901] Simple [-]
BOSSRUSH_DIF2	[7098ff] Normal [-]
BOSSRUSH_DIF3	[fc00ff]difficult[-]
BOSSRUSH_DIF4	[b94cff]Nightmare[-]
BOSSRUSH_QUIT	If you quit midway, the remaining number of customs clearances today will be deducted. Are you sure you want to leave?
BOSSRUSH_CHAN	challenge
BOSSRUSH_CHANG	continue to challenge
BOSSRUSH_LIMIT	Refresh times out
JADE_REPLACE_TIP	Do you want to replace all the dragon jade on the current equipment with the new equipment?
JADE_REPLACE_OK	{0} replaced successfully
ERR_JADE_MINEQUIPLEVEL	Failed to mount, {0} can only be mounted on equipment worn by level {1} ​​characters
JADE_COMPOSE_TIP_EQUIP	The upgraded dragon jade can only be inlaid on the equipment worn by characters above level [ff0000]{0}[-]. Do you still need to upgrade?
JADE_COMPOSE_TIP_BIND	Unbound Dragon Jade will become bound Dragon Jade after being upgraded. Do you still need to upgrade?
JADE_COMPOSE_TIP_BIND_EQUIP	Unbound dragon jade will become bound dragon jade after upgrading, and the upgraded dragon jade can only be inlaid on the equipment worn by characters above level [ff0000]{0}[-]
JADE_COMPOSE_TIP2	The upgrade failed, the upgraded dragon jade can only be embedded in the equipment of characters above level [ff0000]{0}[-]
JADE_MOSAIC_TIP	Please select dragon jade to inlay on the right
NOT_TICKET_FATIGUE	Insufficient sweep coupons currently, sweep {0} times
Spectate_times	Second-rate
GUILD_BOSS_FIRSTKILL	First kill
GUILD_BOSS_KILL	kill
GUILD_BOSS_JOIN	participate
GUILD_BOSS_HURT	guild
GUILD_BOSS_PRE	guild
GUILD_BOSS_CONDITION_RANK	Guild level is upgraded to level {0}
GUILD_BOSS_CONDITION_BOSS	And successfully defeated the current BOSS
GUILD_BOSS_CHANGGLE_DES_WIN	Congratulations! The guild boss challenge is successful
GUILD_BOSS_CHANGGLE_DES_FAILED	Challenge time is over
GUILD_BOSS_CHANGGLE_COUNTDOWN	Return to the guild interface countdown {0}
GUILD_BOSS_EMPTY_RANK	Not currently ranked
GUILD_BOSS_EMPTY_RANK_BOSS	There is currently no ranking. Challenge the guild boss to generate a new ranking.
GUILD_BOSS_CONDITION_TIME	Event is on
GUILD_BOSS_CONDITION_BOSSDIE	Today's boss has been defeated
GUILD_BOSS_CONDITION_BOSSDIE_HINT	Today's boss has been defeated, the event is over
GUILD_BOSS_CONDITION_TIME_NOTSTART	Event is not active
GUILD_BOSS_FIRSTKILL_TITLE	First kill reward
GUILD_BOSS_REWARD_TYPE_FIRSTKILL	Every new guild boss is killed for the first time, and the players participating in the battle can get this reward
GUILD_BOSS_HURT_TITLE	Guild Rewards
GUILD_BOSS_REWARD_TYPE_HURT	The guild challenge boss is successful, and the prestige of the guild can be increased at the end of the event
GUILD_BOSS_JOIN_TITLE	Participation Rewards
GUILD_BOSS_REWARD_TYPE_JOIN	All players who participated in the guild BOSS battle can get participation rewards after the event ends
GUILD_BOSS_KILL_TITLE	Kill reward
GUILD_BOSS_REWARD_TYPE_KILL	Complete the final blow to the guild boss to get the kill reward
GUILD_BOSS_PRE_TITLE	Guild Rewards
GUILD_BOSS_REWARD_TYPE_PRE	The guild challenge boss is successful, and the guild experience can be improved at the end of the event
GUILD_BOSS_AUCTREWARD_301	auction
GUILD_BOSS_AUCTREWARD_5995	auction
GUILD_BOSS_AUCTREWARD_5997	auction
GUILD_BOSS_AUCTREWARD_302	auction
GUILD_BOSS_AUCTREWARD_301_TITLE	Guild Auction House Rewards
GUILD_BOSS_AUCTREWARD_301_DESC	According to the guild ranking, different rare rewards will be randomly listed in the guild auction of the exchange for all members of the guild to bid
GUILD_BOSS_AUCTREWARD_5995_TITLE	Guild Auction House Rewards
GUILD_BOSS_AUCTREWARD_5995_DESC	According to the guild ranking, different rare rewards will be randomly listed in the guild auction of the exchange for all members of the guild to bid
GUILD_BOSS_AUCTREWARD_5997_TITLE	Guild Auction House Rewards
GUILD_BOSS_AUCTREWARD_5997_DESC	According to the guild ranking, different rare rewards will be randomly listed in the guild auction of the exchange for all members of the guild to bid
GUILD_BOSS_AUCTREWARD_302_TITLE	Guild Auction House Rewards
GUILD_BOSS_AUCTREWARD_302_DESC	According to the guild ranking, different rare rewards will be randomly listed in the guild auction of the exchange for all members of the guild to bid
GUILD_BOSS_AUCTREWARD_303_TITLE	Guild Auction House Rewards
GUILD_BOSS_AUCTREWARD_303_DESC	According to the guild ranking, different rare rewards will be randomly listed in the guild auction of the exchange for all members of the guild to bid
Spectate_Type_1	recommend
Spectate_Type_2	Ladder match
Spectate_Type_3	challenge copy
Spectate_Type_4	multiplayer confrontation
Spectate_Type_5	competition
Spectate_Type_6	Friends & Guilds
Spectate_Title_2	1:1 Ladder Match
Spectate_Title_4	protection captain
Spectate_Title_5	Guild Arena
Spectate_Title_10	hero battlefield
Spectate_Title_11	Holy League
Spectate_Title_12	2:2 Ladder Match
Spectate_Title_13	National PK Tournament
Spectate_Title_14	Cross-server guild battle
Spectate_Title_15	Cross-Server Peak Showdown
Spectate_GuildLevel_1	(finals)
Spectate_GuildLevel_2	(Quarter 4)
Spectate_GuildLevel_3	(Top 8)
Spectate_PVPLevel_1	(bronze)
Spectate_PVPLevel_2	(silver)
Spectate_PVPLevel_3	(gold)
Spectate_PVPLevel_4	(platinum)
Spectate_PK_Tips	1700 points or more can be spectated
Spectate_Sure	Are you sure you want to go watch the game?
Spectate_Goon	keep watching
BOSSRUSH_T_USELESS	Today's challenges have been exhausted
BOSSRUSH_R_USELESS	The number of refreshes for today has been exhausted
TEAM_MAX_MEMBER_COUNT	A maximum of {0} people can fight
CHAT_WORLD2	Free speech {0} times per day
CHAT_DAY	{0} days ago
BOSSRUSH_UNLOCK	BOSSRUSH counts have been used up
GODDESSTRIAL_NEEDFIGHT_TIMES	Participate {0} more times to get
BOSSRUSH_NOTE	You will challenge BOSS in fair mode, and the combat power will be adjusted appropriately
BOSSRUSH_PRIVILEGE	Refresh count+{0}
Make	make
SpectateTags_0	watch the battle
SpectateTags_1	my record
Spectate_MyRecord_TotalWatchText	Accumulated {0} views
Spectate_MyRecord_TotalCommendText	Accumulated likes {0} times
Spectate_CommendCD_Tips	The number of likes is too frequent, please rest for {0} seconds before clicking
Spectate_Commend_Succeed	Liked successfully
IS_IDLE
IS_NOT_OPEN
IS_OTHER_TEAM	in team
IS_MY_TEAM	joined
IS_FIGHTING	in battle
IS_NO_COUNT	Not enough
GODDESS_NAME	Trial of the Goddess
WorldBoss_CoolDown_Tips	After leaving the world boss battle, it will take {0} seconds to enter again
GuildBoss_CoolDown_Tips	After leaving the guild boss battle, it will take {0} seconds to enter again
TEAM_MATCH_START	The match starts, please don't leave the team
TEAM_MATCH_STOP	Unmatched
FOLD	times
BOSS_RATE_RWD	{0} times the reward
ChatInput_DefaultTips	Click to enter
GUILD_ARENA_COUNTDOWN	Countdown {0} seconds
TeamCategory204	daily copy
PVP_Point	Minute
GUILD_ARENA_WIN_COUNTDOWN	Wait for the opponent to enter, countdown {0} seconds
GUILD_ARENA_FAILED_COUNTDOWN	Waiting for teammates to enter, countdown {0} seconds
GUILD_ARENA_ENTRANCE_NOTICE	The guild ring battle is about to start, hurry up and enter!
GUILD_ARENA_WIN_PERSONAL	Congrats, you beat your opponent!
GUILD_ARENA_LUCKY_PERSONAL	The opponent abstains!
GUILD_ARENA_LOSE_PERSONAL	It's a pity that you were defeated by the other party
GUILD_ARENA_WIN_GUILDALL	Congratulations to your guild for winning!
GUILD_ARENA_WIN_GUILDALL_RANK	No one on both sides enters the battle and wins according to the guild ranking
GUILD_ARENA_WIN_GUILDALL_OPNONE	One guild has no one in battle
GUILD_ARENA_LOSE_GUILDALL	It's a pity your guild didn't win
GUILD_ARENA_OVERTIME_WIN_PERSONAL	Time is up, you win!
GUILD_ARENA_OVERTIME_LOSE_PERSONAL	Time is up, you lose!
GUILD_ARENA_READY	Both sides can adjust the players on the field, and the countdown ends and officially begins
GUILD_ARENA_KICK	Whether to remove the player from the battle queue
GUILD_ARENA_BEKICKED	You were kicked out of the deployment lineup by [eaddc0]{0}[-]
GUILD_ARENA_UP_HINT	Click the button to join the queue
GUILD_ARENA_DOWN_HINT	Click the Undo button to remove yourself from the queue
MODAL_NOTIP	Do not remind again
MODAL_CHAT	No more prompts to play today
Recycle_EnhancedEquip	The equipment you disassembled contains equipment with a higher level of enhancement. Are you sure to disassemble it?
WAIT_FOR_OTHERS	Syncing other players...
GUILD_BROADCAST_TIMELIMIT	Guild invitations are sent too frequently. You can send them again after {0} seconds
EQUIP_TRANSFORM_LACK_MATERIAL	There are still {0}{1} missing in this enhanced transfer
SpectateLevelRewardTitle3	team member
SpectateLevelRewardTitle5	kills
SpectateLevelRewardTitle6	total damage
SpectateLevelRewardTitle7	Damage percentage
SpectateLevelRewardTitle8	total treatment
SpectateLevelRewardTitle9	number of deaths
SpectateLevelRewardTitle10	Highest Combo
SpectateLevelRewardTitle11	star
SpectateLevelRewardTitle12	win or lose
SpectateLevelRewardTitle13	MVP
EMBLEM_Attr_1stTittle	[e39354] First attribute [-]
EMBLEM_Attr_2edTittle	[e39354] Second attribute [-]
EMBLEM_Attr_3rdTittle	[e39354] Third property [-]
NOT_IN_HALL_STAGE	is fighting
NOT_IN_HALL_SPECTATE	is watching
GUILD_ARENA_THEY_QUITE_PERSONAL	[5589ff]{0}[-] quit the game
GUILD_ARENA_OVERTIME_WINER_PERSONAL	time up! [5589ff]{0}[-] High HP
GUILD_ARENA_QUITE	The guild [5589ff]{0}[-] abstained, and no one entered the battle!
GUILD_ARENA_POSITION	Guild [5589ff]{0}[-] ranks higher and wins without fighting!
GUILD_ARENA_AFTER_ENTRANCE_NOTICE	The participating members are entering the field, and the battle is about to begin!
GUILD_ARENA_WAITING_ENTRANCE_NOTICE	Please wait loading...
GUILD_ARENA_COMBAT_NA	After the end of the points game, the information of the match table will be announced, so stay tuned
GUILD_ARENA_LAYOUT_NA	Every Tuesday and Saturday at 12:00, the deployment of the guild arena will start
GUILD_ARENA_LAYOUT_REMOVE	You have removed yourself from the battle queue
CREAT_EQUIP_LEVELNOTENOUGH	Insufficient level to craft current equipment
XUPDATE_ERROR_DECOMPRESSRESFAILED	Resource decompression failed
XUPDATE_ERROR_MANIFESTERROR	Resource list error, please check storage space and network status (click to try again)
XUPDATE_ERROR_VERSIONNOTMATCH	Please go to the app store to re-download the latest version
NEED_TO_DOWNLOAD_CORRECT_PACKAGE	Please go to download the latest version of the corresponding version
XUPDATE_ERROR_VERSIONNOTMATCH_URL	itms-apps://itunes.apple.com/cn/app/id1112094262
XUPDATE_ERROR_VERSIONNOTMATCH_ANDROID_URL	https://dn.qq.com/d/index.html
XUPDATE_ERROR_VERSIONNOTMATCH_ANDROID_PRE_URL	https://dn.qq.com/d/a20171214luff/down.html?device=auto
XUPDATE_ERROR_FETCHMANIFESTERROR	Failed to get the resource list, please check the network status (click to try again)
XUPDATE_ERROR_FETCHVERSIONERROR	Failed to get the server version number, please check the network status (click to try again)
XUPDATE_ERROR_CANNOTCONNECTTOSERVER	The server connection is interrupted, please check the network status (click to retry)
XUPDATE_ERROR_DOWNLOADRESFAILED	Resource bundle {0} failed to download
XUPDATE_ERROR_DOWNLOADRESFAILED_AND_RETRY	Resource pack {0} failed to download, please check storage space and network status (click to try again)
XUPDATE_ERROR_LOADCOMPRESSEDFILEFAILED	Failed to load compressed resource
XUPDATE_ERROR_ACCESSDENIED	Failed to create update directory, please check system permissions
XUPDATE_ERROR_DELETEDENIED	Update file operation failed, please check system permissions
XUPDATE_ERROR_FETCHLOCALVERSIONERROR	Failed to get local version number
XUPDATE_INFO_DECOMPRESSLOCALRES_COMPLETE	Decompress local resources (no traffic)...100%
XUPDATE_INFO_DECOMPRESSLOCALRES	Decompressing local resources (no traffic)...{0}%
XUPDATE_INFO_PREDECOMPRESSLOCALRES	Decompress local resources (no traffic)...
XUPDATE_INFO_FETCHVERSION	Get server version number...
XUPDATE_INFO_FETCHMANIFEST	Get a list of resources...
XUPDATE_INFO_DOWNLOAD_FILE_COMPLETE	{0} download completed
XUPDATE_INFO_LOADING	Game loading...
XUPDATE_INFO_LAUNCHING	Waiting to start...
XUPDATE_INFO_CONNECTING	Connect to update server...
XUPDATE_INFO_CHECKUPDATING	Check for resource pack updates...
XUPDATE_INFO_DOWNLOADING	Downloading update {0}%...
XUPDATE_INFO_RETRY	Retrying...
XUPDATE_INFO_EXTRACTING	Decompressing resource {0}%...
XUPDATE_INFO_EXTRACTING_COMPLETE	{0} decompression completed
XUPDATE_INFO_PRELOADING	Preloading resource {0}%...
XUPDATE_INFO_EXCLUDE1GPHONE	The memory of the mobile phone is less than 2G, the current version cannot be experienced, we will try to optimize the performance, and look forward to seeing you in the next version
PAY_CARD_LEFT_TIME_TITLE	[b] Refresh time
PAY_GIFTBAG_LEFT_TIME_TITLE	[b]Limited time
PAY_GIFTBAG_PAYMEMBER_LIMIT	This gift package is exclusive to {0}, join now to get the purchase privilege!
PAY_GIFTBAG_GIFT_HAVE_GOT	I already got it today, try it again at 5 tomorrow morning
PAY_CARD_TIP	Weekly card and monthly card can be valid at the same time
PAY_CARD_TITLE	Activate {0}
PAY_CARD_LEFT_TIMES	Remaining days to claim: {0} days
PAY_CARD_CAN_GET	Available today: {0} diamonds
PAY_CARD_HAS_GOT	Claimed today: {0} diamonds
PAY_CARD_TIP_1	Get {0} now
PAY_CARD_TIP_2	Get {1} diamonds per day for {0} days after activation
PAY_CARD_TIP_3	A total of {0} diamonds can be obtained
PAY_BUY_TEX	{0} yuan to buy
PAY_GOT_TEX	receive
PAY_HAS_GOT_TEX	received
PAY_HAS_GOT	bought
PAY_NEXT_VIP_TIP	Recharge {0} yuan to upgrade to V{1}
PAY_UNIT	{0 yuan
PAY_FIRST_RECHARGE	Gift {0} diamonds for your first purchase
PAY_NOTFIRST_RECHARGE	Extra {0} diamonds
PAY_GIFT_BAG_VIP_LIMIT	Vip{0} and above can only be purchased
PAY_VIP_MAX_TIP	V privilege level has reached the upper limit
PAY_VIP_LEVEL	Privilege {0}
PAY_KINGDOM_LEFTTIME	Privilege remaining time {0}
PAY_KINGDOM_BUY_AGAIN	Renewal
PAY_KINGDOM_RENEW_TITLE	Renewal succeeded
PAY_KINGDOM_RENEW	Your privilege has been successfully renewed for {0} days, with {1} days remaining
PAY_KINGDOM_NOT_OPEN	Kingdom Privileges not yet available
PAY_KINGDOM_OUT_OF_DATE	{0} has expired, hurry up and renew it~
PAY_KINGDOM_GO_TO_BUY	You have not activated the {0} privilege, do you want to activate it?
PAY_KINGDOM_VALUE	Total returns {0}{1}
PAY_WEAK_NETWORK_TIP	The current network is unstable, it is recommended to try again after changing the network
PAY_SUCCESS	The recharge is successful, please wait patiently for the account to arrive
PAY_SUCCESS_PANDORA	successful purchase
PAY_FAIL_PANDORA	Failed purchase
PAY_FAIL	Recharge failed
PAY_SUCCESS_GOODS	successful purchase
PAY_FAIL_GOODS	Failed purchase
Strength_TotalFight_Rate	pj_4 | pj_3 | pj_2 | pj_1 | pj_0 | pj_5 | pj_6
Strength_ParticalFight_Rate	Urgently Needs Upgrading| Barely Reluctant | Getting Better | Handy | Excellent |
THIS_ROLE	this player
SYSTEM_NOT_OPEN	function not open
SEVEN_LOGIN_MESSAGE8	Accumulated login [ab3ede]{0}days[-] to get S rank [ab3ede]{1}
SEVEN_LOGIN_MESSAGE3	Accumulated login [f39354]{0}days[-] to get A-level elf [f39354]Argeta
SEVEN_LOGIN_MAIN_MESSAGE1	{0} days later to receive {1}
SEVEN_LOGIN_MAIN_MESSAGE2	{0}
SEVEN_LOGIN_TIMERECORD	{0}Countdown to claim{1}
VOICE_APOLLO_FAIL	Failed to create voice room
VOICE_APOLLO_START	Live Voice is on
MUSIC_APOLLO_CLOSE	Live Voice is off
SPEAK_APOLLO_CLOSE	Microphone is off
