scendid	scenename	star2	star3	time	hppercent	found	behit	npchp	combo	passpower
40216	深渊派对61级-困难2	1=0=240	2=0=50	240	50					
40217	深渊派对61级-困难3	1=0=240	2=0=50	240	50					
40218	深渊派对61级-困难4	1=0=240	2=0=50	240	50					
40219	深渊派对61级-困难5	1=0=240	2=0=50	240	50					
40220	深渊派对61级-地狱1	1=0=240	2=0=50	240	50					
40221	深渊派对61级-地狱2	1=0=240	2=0=50	240	50					
40222	深渊派对61级-地狱3	1=0=240	2=0=50	240	50					
40223	深渊派对61级-地狱4	1=0=240	2=0=50	240	50					
40224	深渊派对61级-地狱5	1=0=240	2=0=50	240	50					
40225	深渊派对61级-噩梦1	1=0=240	2=0=50	240	50					
40226	深渊派对61级-噩梦2	1=0=240	2=0=50	240	50					
40227	深渊派对61级-噩梦3	1=0=240	2=0=50	240	50					
40228	深渊派对61级-噩梦4	1=0=240	2=0=50	240	50					
40229	深渊派对61级-噩梦5	1=0=240	2=0=50	240	50					
40300	深渊派对95级-练习1	1=0=240	2=0=50	240	50					
40301	深渊派对95级-练习2	1=0=240	2=0=50	240	50					
40302	深渊派对95级-练习3	1=0=240	2=0=50	240	50					
40303	深渊派对95级-练习4	1=0=240	2=0=50	240	50					
40304	深渊派对95级-练习5	1=0=240	2=0=50	240	50					
40305	深渊派对95级-简单1	1=0=240	2=0=50	240	50					
40306	深渊派对95级-简单2	1=0=240	2=0=50	240	50					
40307	深渊派对95级-简单3	1=0=240	2=0=50	240	50					
40308	深渊派对95级-简单4	1=0=240	2=0=50	240	50					
40309	深渊派对95级-简单5	1=0=240	2=0=50	240	50					
40310	深渊派对95级-普通1	1=0=240	2=0=50	240	50					
40311	深渊派对95级-普通2	1=0=240	2=0=50	240	50					
40312	深渊派对95级-普通3	1=0=240	2=0=50	240	50					
40313	深渊派对95级-普通4	1=0=240	2=0=50	240	50					
40314	深渊派对95级-普通5	1=0=240	2=0=50	240	50					
40315	深渊派对95级-困难1	1=0=240	2=0=50	240	50					
40316	深渊派对95级-困难2	1=0=240	2=0=50	240	50					
40317	深渊派对95级-困难3	1=0=240	2=0=50	240	50					
40318	深渊派对95级-困难4	1=0=240	2=0=50	240	50					
40319	深渊派对95级-困难5	1=0=240	2=0=50	240	50					
40320	深渊派对95级-地狱1	1=0=240	2=0=50	240	50					
40321	深渊派对95级-地狱2	1=0=240	2=0=50	240	50					
40322	深渊派对95级-地狱3	1=0=240	2=0=50	240	50					
40323	深渊派对95级-地狱4	1=0=240	2=0=50	240	50					
40324	深渊派对95级-地狱5	1=0=240	2=0=50	240	50					
40325	深渊派对95级-噩梦1	1=0=240	2=0=50	240	50					
40326	深渊派对95级-噩梦2	1=0=240	2=0=50	240	50					
40327	深渊派对95级-噩梦3	1=0=240	2=0=50	240	50					
40328	深渊派对95级-噩梦4	1=0=240	2=0=50	240	50					
40329	深渊派对95级-噩梦5	1=0=240	2=0=50	240	50					
40330	深渊派对115级-练习1	1=0=240	2=0=50	240	50					
40331	深渊派对115级-练习2	1=0=240	2=0=50	240	50					
40332	深渊派对115级-练习3	1=0=240	2=0=50	240	50					
40333	深渊派对115级-练习4	1=0=240	2=0=50	240	50					
40334	深渊派对115级-练习5	1=0=240	2=0=50	240	50					
40335	深渊派对115级-简单1	1=0=240	2=0=50	240	50					
40336	深渊派对115级-简单2	1=0=240	2=0=50	240	50					
40337	深渊派对115级-简单3	1=0=240	2=0=50	240	50					
40338	深渊派对115级-简单4	1=0=240	2=0=50	240	50					
40339	深渊派对115级-简单5	1=0=240	2=0=50	240	50					
40340	深渊派对115级-普通1	1=0=240	2=0=50	240	50					
40341	深渊派对115级-普通2	1=0=240	2=0=50	240	50					
40342	深渊派对115级-普通3	1=0=240	2=0=50	240	50					
40343	深渊派对115级-普通4	1=0=240	2=0=50	240	50					
40344	深渊派对115级-普通5	1=0=240	2=0=50	240	50					
40345	深渊派对115级-困难1	1=0=240	2=0=50	240	50					
40346	深渊派对115级-困难2	1=0=240	2=0=50	240	50					
40347	深渊派对115级-困难3	1=0=240	2=0=50	240	50					
40348	深渊派对115级-困难4	1=0=240	2=0=50	240	50					
40349	深渊派对115级-困难5	1=0=240	2=0=50	240	50					
40350	深渊派对115级-地狱1	1=0=240	2=0=50	240	50					
40351	深渊派对115级-地狱2	1=0=240	2=0=50	240	50					
40352	深渊派对115级-地狱3	1=0=240	2=0=50	240	50					
40353	深渊派对115级-地狱4	1=0=240	2=0=50	240	50					
40354	深渊派对115级-地狱5	1=0=240	2=0=50	240	50					
40355	深渊派对115级-噩梦1	1=0=240	2=0=50	240	50					
40356	深渊派对115级-噩梦2	1=0=240	2=0=50	240	50					
40357	深渊派对115级-噩梦3	1=0=240	2=0=50	240	50					
40358	深渊派对115级-噩梦4	1=0=240	2=0=50	240	50					
40359	深渊派对115级-噩梦5	1=0=240	2=0=50	240	50					
40360	时空之门-简单	1=0=240	2=0=50	240	50					
40361	时空之门-简单	1=0=240	2=0=50	240	50					
40362	时空之门-简单	1=0=240	2=0=50	240	50					
40363	时空之门-简单	1=0=240	2=0=50	240	50					
40364	时空之门-简单	1=0=240	2=0=50	240	50					
40365	时空之门-普通	1=0=240	2=0=50	240	50					
40366	时空之门-普通	1=0=240	2=0=50	240	50					
40367	时空之门-普通	1=0=240	2=0=50	240	50					
40368	时空之门-普通	1=0=240	2=0=50	240	50					
40369	时空之门-普通	1=0=240	2=0=50	240	50					
40370	时空之门-冒险	1=0=240	2=0=50	240	50					
40371	时空之门-冒险	1=0=240	2=0=50	240	50					
40372	时空之门-冒险	1=0=240	2=0=50	240	50					
40373	时空之门-冒险	1=0=240	2=0=50	240	50					
40374	时空之门-冒险	1=0=240	2=0=50	240	50					
40375	时空之门-困难	1=0=240	2=0=50	240	50					
40376	时空之门-困难	1=0=240	2=0=50	240	50					
40377	时空之门-困难	1=0=240	2=0=50	240	50					
40378	时空之门-困难	1=0=240	2=0=50	240	50					
40379	时空之门-困难	1=0=240	2=0=50	240	50					
40380	时空之门-地狱	1=0=240	2=0=50	240	50					
40381	时空之门-地狱	1=0=240	2=0=50	240	50					
40382	时空之门-地狱	1=0=240	2=0=50	240	50					
40383	时空之门-地狱	1=0=240	2=0=50	240	50					
40384	时空之门-地狱	1=0=240	2=0=50	240	50					
40385	时空之门-噩梦	1=0=240	2=0=50	240	50					
40386	时空之门-噩梦	1=0=240	2=0=50	240	50					
40387	时空之门-噩梦	1=0=240	2=0=50	240	50					
40388	时空之门-噩梦	1=0=240	2=0=50	240	50					
40389	时空之门-噩梦	1=0=240	2=0=50	240	50					
50004	挑战者之路	1=0=300	2=0=50	300	50					
50005	海盗根据腹地	1=0=300	2=0=50	300	50					
50006	古代藏宝库	1=0=300	2=0=50	300	50					
50018	高地生存	8=0=70	8=0=90							
50019	寻找宝箱	9=0=50	9=0=75							
50020	驱赶猎犬	9=0=40	9=0=60							
50021	方块迷阵	8=0=70	8=0=90							
50022	清理蘑菇	9=0=50	9=0=75							
50026	幽灵蘑菇园	9=0=200	9=0=600							
50027	疯狂的鸭子	9=0=400	9=0=600							
50028	幽灵行动	9=0=50	9=0=75							
50029	生存大挑战	8=0=70	8=0=90							
50030	怪物大乱斗	8=0=70	8=0=90							
50031	疯狂炸弹人	8=0=70	8=0=90							
50032	周末赛马	8=0=70	8=0=90							
50034	钩鸭大赛	8=0=70	8=0=90							
50035	熊猫食堂	9=0=50	9=0=75							
50036	初级摄魂怪实验室	1=0=0	2=0=0							
50037	中级摄魂怪实验室	1=0=0	2=0=0							
50038	高级摄魂怪实验室	1=0=0	2=0=0							
50039	抓糖果大赛	9=0=300	9=0=600							
50050	欢乐庆典	9=0=50	9=0=75							
50052	丧鸭围城	9=0=200	9=0=600							
50053	上古守护关卡	9=0=50	9=0=75							
50054	上古潜入关卡	9=0=50	9=0=75							
50055	上古BOSS关卡	9=0=50	9=0=75							
50056	温顺的生化地狱犬	1=0=0	2=0=0							
50057	凶残的生化地狱犬	1=0=0	2=0=0							
50058	狂暴的生化地狱犬	1=0=0	2=0=0							
50059	主题活动宝箱副本	9=0=200	9=0=600							
50061	师傅的考验	9=0=50	9=0=75							
50062	你猜我猜	1=0=240	2=0=50	240	50					
50063	温顺的牛魔王	1=0=0	2=0=0							
50064	凶残的牛魔王	1=0=0	2=0=0							
50065	狂暴的牛魔王	1=0=0	2=0=0							
50066	回忆的巢穴-简单	1=0=0	2=0=0							
50067	回忆的巢穴-普通	1=0=0	2=0=0							
50068	回忆的巢穴-困难	1=0=0	2=0=0							
50069	守护者的未知领域-简单	1=0=0	2=0=0							
50070	守护者的未知领域-普通	1=0=0	2=0=0							
50071	守护者的未知领域-困难	1=0=0	2=0=0							
50072	单身狗的反击	1=0=0	2=0=0							
50081	疯鸭秘境	9=0=400	9=0=600							
50082	幸运砸金蛋	9=0=400	9=0=600							
50084	变身大作战-简单	1=0=0	2=0=0							
50085	变身大作战-普通	1=0=0	2=0=0							
50086	变身大作战-困难	1=0=0	2=0=0							
50087	阿依夏的秘密	1=0=0	2=0=0							
51000	惊魂凯德拉-困难	1=0=0	2=0=0							
51001	惊魂凯德拉-普通	1=0=0	2=0=0							
51002	惊魂凯德拉-简单	1=0=0	2=0=0							
51009	爱情躲避球-陪伴	1=0=0	2=0=0							
51010	爱情躲避球-守护	1=0=0	2=0=0							
51011	爱情躲避球-牺牲	1=0=0	2=0=0							
51012	逃跑的圣诞兽人金	9=0=400	9=0=600							
51014	年兽来袭第一弹	1=0=0	2=0=0							
51015	年兽来袭第二弹	1=0=0	2=0=0							
51016	年兽来袭第三弹	1=0=0	2=0=0							
51017	觉醒关卡1	1=0=300	2=0=50	300	50					
51018	觉醒关卡2	1=0=300	2=0=50	300	50					
51019	觉醒关卡3	1=0=300	2=0=50	300	50					
51020	黑暗复仇者1	1=0=300	2=0=50	300	50					
51021	黑暗复仇者2	1=0=300	2=0=50	300	50					
51023	觉醒关卡4	1=0=300	2=0=50	300	50					
51030	巨石碑森林	1=0=210	2=0=50	180	50					
51031	古森林遗址	1=0=220	2=0=50	190	50					
51032	巨石碑长桥	1=0=180	2=0=50	180	50					
51033	旧城的王都	1=0=180	2=0=50	180	50					
51034	巨石碑秘境	1=0=240	2=0=50	240	50					
51035	巨石碑矿脉	1=0=180	2=0=50	180	50					
51036	故友之战	1=0=220	2=0=50	180	50					
51037	巨石碑之门	1=0=230	2=0=50	230	50					
51038	门里的世界	1=0=200	2=0=50	200	50					
51039	红龙的活墓	1=0=240	2=0=50	240	50					
51040	巨石碑边缘	1=0=300	2=0=50	280	50					
51041	巨石碑核心	1=0=260	2=0=50	260	50					
51042	银弓的力量	1=0=190	2=0=50	190	50					
51043	时空间隙	1=0=270	2=0=50	270	50					
51044	艾伦岛通道	1=0=230	2=0=50	230	50					
51045	道别之地	1=0=230	2=0=50	230	50					
51046	红龙的巢穴	1=0=260	2=0=50	240	50					
51047	巨石碑森林	1=0=180	2=0=50	180	50					
51048	古森林遗址	1=0=190	2=0=50	190	50					
51049	巨石碑长桥	1=0=180	2=0=50	180	50					
51050	旧城的王都	1=0=180	2=0=50	180	50					
51051	巨石碑秘境	1=0=240	2=0=50	240	50					
51052	巨石碑矿脉	1=0=180	2=0=50	180	50					
51053	故友之战	1=0=180	2=0=50	180	50					
51054	巨石碑之门	1=0=230	2=0=50	230	50					
51055	门里的世界	1=0=200	2=0=50	200	50					
51056	红龙的活墓	1=0=240	2=0=50	240	50					
51057	巨石碑边缘	1=0=280	2=0=50	280	50					
51058	巨石碑核心	1=0=260	2=0=50	260	50					
51059	银弓的力量	1=0=190	2=0=50	190	50					
51060	时空间隙	1=0=270	2=0=50	270	50					
51061	艾伦岛通道	1=0=230	2=0=50	230	50					
51062	道别之地	1=0=230	2=0=50	230	50					
51063	红龙的巢穴	1=0=240	2=0=50	240	50					
51064	红龙的巢穴	1=0=240	2=0=50	240	50					
51080	杰兰特外传第一关	1=0=240	2=0=50	240	50					
51081	杰兰特外传第二关	1=0=240	2=0=50	240	50					
51082	杰兰特外传第三关	1=0=240	2=0=50	240	50					
51083	杰兰特外传第四关	1=0=240	2=0=50	240	50					
51084	杰兰特外传第五关	1=0=240	2=0=50	240	50					
51085	杰兰特外传第六关	1=0=240	2=0=50	240	50					
51086	策划大作战-简单	1=0=0	2=0=0							
51087	策划大作战-普通	1=0=0	2=0=0							
51088	策划大作战-困难	1=0=0	2=0=0							
51089	策划大作战2-简单	1=0=0	2=0=0							
51090	策划大作战2-普通	1=0=0	2=0=0							
51091	策划大作战2-困难	1=0=0	2=0=0							
51092	策划大作战-简单	1=0=0	2=0=0							
51093	策划大作战-普通	1=0=0	2=0=0							
51094	策划大作战-困难	1=0=0	2=0=0							
61001	沙漠前哨站1层	1=0=0	2=0=0							
61002	沙漠前哨站2层	1=0=0	2=0=0							
61003	沙漠前哨站3层	1=0=0	2=0=0							
61004	沙漠前哨站4层	1=0=0	2=0=0							
61005	沙漠前哨站5层	1=0=0	2=0=0							
61006	沙漠前哨站6层	1=0=0	2=0=0							
61007	沙漠前哨站7层	1=0=0	2=0=0							
61008	沙漠前哨站8层	1=0=0	2=0=0							
61009	沙漠前哨站9层	1=0=0	2=0=0							
61010	沙漠前哨站10层	1=0=0	2=0=0							
61011	沙漠前哨站11层	1=0=0	2=0=0							
61012	沙漠前哨站12层	1=0=0	2=0=0							
61013	沙漠前哨站13层	1=0=0	2=0=0							
61014	沙漠前哨站14层	1=0=0	2=0=0							
61015	沙漠前哨站15层	1=0=0	2=0=0							
61016	沙漠前哨站16层	1=0=0	2=0=0							
61017	沙漠前哨站17层	1=0=0	2=0=0							
61018	沙漠前哨站18层	1=0=0	2=0=0							
61019	沙漠前哨站19层	1=0=0	2=0=0							
61101	巢穴守卫1层	1=0=0	2=0=0							
61102	巢穴守卫2层	1=0=0	2=0=0							
61103	巢穴守卫3层	1=0=0	2=0=0							
61104	巢穴守卫4层	1=0=0	2=0=0							
61105	巢穴守卫5层	1=0=0	2=0=0							
61106	巢穴守卫6层	1=0=0	2=0=0							
61107	巢穴守卫7层	1=0=0	2=0=0							
61108	巢穴守卫8层	1=0=0	2=0=0							
61109	巢穴守卫9层	1=0=0	2=0=0							
61110	巢穴守卫10层	1=0=0	2=0=0							
61111	巢穴守卫11层	1=0=0	2=0=0							
61112	巢穴守卫12层	1=0=0	2=0=0							
61113	巢穴守卫13层	1=0=0	2=0=0							
61114	巢穴守卫14层	1=0=0	2=0=0							
61115	巢穴守卫15层	1=0=0	2=0=0							
61116	巢穴守卫16层	1=0=0	2=0=0							
61117	巢穴守卫17层	1=0=0	2=0=0							
61118	巢穴守卫18层	1=0=0	2=0=0							
61119	巢穴守卫19层	1=0=0	2=0=0							
61201	丛林深处1层	1=0=0	2=0=0							
61202	丛林深处2层	1=0=0	2=0=0							
61203	丛林深处3层	1=0=0	2=0=0							
61204	丛林深处4层	1=0=0	2=0=0							
61205	丛林深处5层	1=0=0	2=0=0							
61206	丛林深处6层	1=0=0	2=0=0							
61207	丛林深处7层	1=0=0	2=0=0							
61208	丛林深处8层	1=0=0	2=0=0							
61209	丛林深处9层	1=0=0	2=0=0							
61210	丛林深处10层	1=0=0	2=0=0							
61211	丛林深处11层	1=0=0	2=0=0							
61212	丛林深处12层	1=0=0	2=0=0							
61213	丛林深处13层	1=0=0	2=0=0							
61214	丛林深处14层	1=0=0	2=0=0							
61215	丛林深处15层	1=0=0	2=0=0							
61216	丛林深处16层	1=0=0	2=0=0							
61217	丛林深处17层	1=0=0	2=0=0							
61218	丛林深处18层	1=0=0	2=0=0							
61219	丛林深处19层	1=0=0	2=0=0							
61301	迷宫入口1层	1=0=0	2=0=0							
61302	迷宫入口2层	1=0=0	2=0=0							
61303	迷宫入口3层	1=0=0	2=0=0							
61304	迷宫入口4层	1=0=0	2=0=0							
61305	迷宫入口5层	1=0=0	2=0=0							
61306	迷宫入口6层	1=0=0	2=0=0							
61307	迷宫入口7层	1=0=0	2=0=0							
61308	迷宫入口8层	1=0=0	2=0=0							
61309	迷宫入口9层	1=0=0	2=0=0							
61310	迷宫入口10层	1=0=0	2=0=0							
61311	迷宫入口11层	1=0=0	2=0=0							
61312	迷宫入口12层	1=0=0	2=0=0							
61313	迷宫入口13层	1=0=0	2=0=0							
61314	迷宫入口14层	1=0=0	2=0=0							
61315	迷宫入口15层	1=0=0	2=0=0							
61316	迷宫入口16层	1=0=0	2=0=0							
61317	迷宫入口17层	1=0=0	2=0=0							
61318	迷宫入口18层	1=0=0	2=0=0							
61319	迷宫入口19层	1=0=0	2=0=0							
61401	神殿大门1层	1=0=0	2=0=0							
61402	神殿大门2层	1=0=0	2=0=0							
61403	神殿大门3层	1=0=0	2=0=0							
61404	神殿大门4层	1=0=0	2=0=0							
61405	神殿大门5层	1=0=0	2=0=0							
61406	神殿大门6层	1=0=0	2=0=0							
61407	神殿大门7层	1=0=0	2=0=0							
61408	神殿大门8层	1=0=0	2=0=0							
61409	神殿大门9层	1=0=0	2=0=0							
61410	神殿大门10层	1=0=0	2=0=0							
61411	神殿大门11层	1=0=0	2=0=0							
61412	神殿大门12层	1=0=0	2=0=0							
61413	神殿大门13层	1=0=0	2=0=0							
61414	神殿大门14层	1=0=0	2=0=0							
61415	神殿大门15层	1=0=0	2=0=0							
61416	神殿大门16层	1=0=0	2=0=0							
61417	神殿大门17层	1=0=0	2=0=0							
61418	神殿大门18层	1=0=0	2=0=0							
61419	神殿大门19层	1=0=0	2=0=0							
61501	迷宫尽头1层	1=0=0	2=0=0							
61502	迷宫尽头2层	1=0=0	2=0=0							
61503	迷宫尽头3层	1=0=0	2=0=0							
61504	迷宫尽头4层	1=0=0	2=0=0							
61505	迷宫尽头5层	1=0=0	2=0=0							
61506	迷宫尽头6层	1=0=0	2=0=0							
61507	迷宫尽头7层	1=0=0	2=0=0							
61508	迷宫尽头8层	1=0=0	2=0=0							
61509	迷宫尽头9层	1=0=0	2=0=0							
61510	迷宫尽头10层	1=0=0	2=0=0							
61511	迷宫尽头11层	1=0=0	2=0=0							
61512	迷宫尽头12层	1=0=0	2=0=0							
61513	迷宫尽头13层	1=0=0	2=0=0							
61514	迷宫尽头14层	1=0=0	2=0=0							
61515	迷宫尽头15层	1=0=0	2=0=0							
61516	迷宫尽头16层	1=0=0	2=0=0							
61517	迷宫尽头17层	1=0=0	2=0=0							
61518	迷宫尽头18层	1=0=0	2=0=0							
61519	迷宫尽头19层	1=0=0	2=0=0							
71001	黑山洞窟	1=0=240	1=0=120							
71002	熔岩岛	1=0=240	1=0=120							
71003	蜥蜴人栖息地	1=0=240	1=0=120							
71004	龙骨荒漠	1=0=240	1=0=120							
71005	剧毒之森	1=0=240	1=0=120							
71006	沙芬特拉之岛	1=0=240	1=0=120							
71007	巨木丛林	1=0=240	1=0=120							
71008	符文沼泽	1=0=240	1=0=120							
71009	勇者遗迹	1=0=240	1=0=120							
71010	剧毒峡谷	1=0=240	1=0=120							
71011	魔力之源	1=0=240	1=0=120							
71012	梦的回廊	1=0=240	1=0=120							
71013	月光飞艇	1=0=240	1=0=120							
71014	熔岩孤岛	1=0=240	1=0=120							
71015	暴风瞭望台	1=0=240	1=0=120							
71016	蘑岩峡谷	1=0=240	1=0=120							
71017	赞龙的神殿	1=0=240	1=0=120							
71018	末日高地	1=0=240	1=0=120							
71019	神圣天堂南郊地牢	1=0=240	1=0=120							
71020	神圣天堂南城门	1=0=240	1=0=120							
71021	王城地下的神殿	1=0=240	1=0=120							
71022	上古地狱犬·Ⅰ	1=0=240	1=0=120							
71023	牛魔王·Ⅰ	1=0=240	1=0=120							
71024	守护者的未知领域·Ⅰ	1=0=240	1=0=120							
71025	狂暴大主教·Ⅰ	1=0=240	1=0=120							
71026	蜥蜴人栖息地·Ⅰ	1=0=240	1=0=120							
71027	龙骨荒漠·Ⅰ	1=0=240	1=0=120							
71028	剧毒之森·Ⅰ	1=0=240	1=0=120							
71029	勇者遗迹·Ⅰ	1=0=240	1=0=120							
71030	剧毒峡谷·Ⅰ	1=0=240	1=0=120							
71031	魔力之源·Ⅰ	1=0=240	1=0=120							
71032	巨木丛林·Ⅰ	1=0=240	1=0=120							
71033	沙漠前哨站·Ⅰ	1=0=240	1=0=120							
71034	缺德者城堡·Ⅰ	1=0=240	1=0=120							
71035	风蚀深渊·Ⅰ	1=0=240	1=0=120							
71036	沙岩入口·Ⅰ	1=0=240	1=0=120							
71037	雷兽荒野·Ⅰ	1=0=240	1=0=120							
71038	代达罗斯·Ⅰ	1=0=240	1=0=120							
71039	月光飞艇·Ⅰ	1=0=240	1=0=120							
71040	熔岩孤岛·Ⅰ	1=0=240	1=0=120							
71041	暴风瞭望台·Ⅰ	1=0=240	1=0=120							
71042	蘑岩峡谷·Ⅰ	1=0=240	1=0=120							
71043	赞龙的神殿·Ⅰ	1=0=240	1=0=120							
71044	神圣天堂南郊地牢·Ⅰ	1=0=240	1=0=120							
71045	神圣天堂南城门·Ⅰ	1=0=240	1=0=120							
71046	王城地下的神殿·Ⅰ	1=0=240	1=0=120							
71047	被遗弃的绚烂主题公园·Ⅰ	1=0=240	1=0=120							
71048	神圣天堂王城正门·Ⅰ	1=0=240	1=0=120							
71049	卫兵西米特·Ⅰ	1=0=240	1=0=120							
71050	园丁卡兰德·Ⅰ	1=0=240	1=0=120							
71051	铁匠李特森·Ⅰ	1=0=240	1=0=120							
71052	台风金·Ⅰ	1=0=240	1=0=120							
71053	实验体-Karameli·Ⅰ	1=0=240	1=0=120							
71054	精灵女王-拉坦娜·Ⅰ	1=0=240	1=0=120							
71055	教授K·Ⅰ	1=0=240	1=0=120							
71056	伟人杜克斯·阿尔克斯·Ⅰ	1=0=240	1=0=120							
71057	新月守护者佩尔守卫者·Ⅰ	1=0=240	1=0=120							
71058	咆哮的守卫奥尼德·Ⅰ	1=0=240	1=0=120							
71059	哭泣的雾之女王·Ⅰ	1=0=240	1=0=120							
71060	烈火之花杰姆斯托克·Ⅰ	1=0=240	1=0=120							
71061	凤凰拉巴诺克·Ⅰ	1=0=240	1=0=120							
71062	最后的挑战·Ⅰ	1=0=240	1=0=120							
72001	黑山洞窟	1=0=240	1=0=120							
72002	熔岩岛	1=0=240	1=0=120							
72003	蜥蜴人栖息地	1=0=240	1=0=120							
72004	龙骨荒漠	1=0=240	1=0=120							
72005	剧毒之森	1=0=240	1=0=120							
72006	沙芬特拉之岛	1=0=240	1=0=120							
72007	巨木丛林	1=0=240	1=0=120							
72008	符文沼泽	1=0=240	1=0=120							
72009	勇者遗迹	1=0=240	1=0=120							
72010	剧毒峡谷	1=0=240	1=0=120							
72011	魔力之源	1=0=240	1=0=120							
72012	梦的回廊	1=0=240	1=0=120							
72013	月光飞艇	1=0=240	1=0=120							
72014	熔岩孤岛	1=0=240	1=0=120							
72015	暴风瞭望台	1=0=240	1=0=120							
72016	蘑岩峡谷	1=0=240	1=0=120							
72017	赞龙的神殿	1=0=240	1=0=120							
72018	末日高地	1=0=240	1=0=120							
72019	神圣天堂南郊地牢	1=0=240	1=0=120							
72020	神圣天堂南城门	1=0=240	1=0=120							
72021	王城地下的神殿	1=0=240	1=0=120							
72022	上古地狱犬·Ⅱ	1=0=240	1=0=120							
72023	牛魔王·Ⅱ	1=0=240	1=0=120							
72024	守护者的未知领域·Ⅱ	1=0=240	1=0=120							
72025	狂暴大主教·Ⅱ	1=0=240	1=0=120							
72026	蜥蜴人栖息地·Ⅱ	1=0=240	1=0=120							
72027	龙骨荒漠·Ⅱ	1=0=240	1=0=120							
72028	剧毒之森·Ⅱ	1=0=240	1=0=120							
72029	勇者遗迹·Ⅱ	1=0=240	1=0=120							
72030	剧毒峡谷·Ⅱ	1=0=240	1=0=120							
72031	魔力之源·Ⅱ	1=0=240	1=0=120							
72032	巨木丛林·Ⅱ	1=0=240	1=0=120							
72033	沙漠前哨站·Ⅱ	1=0=240	1=0=120							
72034	缺德者城堡·Ⅱ	1=0=240	1=0=120							
72035	风蚀深渊·Ⅱ	1=0=240	1=0=120							
72036	沙岩入口·Ⅱ	1=0=240	1=0=120							
72037	雷兽荒野·Ⅱ	1=0=240	1=0=120							
72038	代达罗斯·Ⅱ	1=0=240	1=0=120							
72039	月光飞艇·Ⅱ	1=0=240	1=0=120							
72040	熔岩孤岛·Ⅱ	1=0=240	1=0=120							
72041	暴风瞭望台·Ⅱ	1=0=240	1=0=120							
72042	蘑岩峡谷·Ⅱ	1=0=240	1=0=120							
72043	赞龙的神殿·Ⅱ	1=0=240	1=0=120							
72044	神圣天堂南郊地牢·Ⅱ	1=0=240	1=0=120							
72045	神圣天堂南城门·Ⅱ	1=0=240	1=0=120							
72046	王城地下的神殿·Ⅱ	1=0=240	1=0=120							
72047	被遗弃的绚烂主题公园·Ⅱ	1=0=240	1=0=120							
72048	神圣天堂王城正门·Ⅱ	1=0=240	1=0=120							
72049	卫兵西米特·Ⅱ	1=0=240	1=0=120							
72050	园丁卡兰德·Ⅱ	1=0=240	1=0=120							
72051	铁匠李特森·Ⅱ	1=0=240	1=0=120							
72052	台风金·Ⅱ	1=0=240	1=0=120							
72053	实验体-Karameli·Ⅱ	1=0=240	1=0=120							
72054	精灵女王-拉坦娜·Ⅱ	1=0=240	1=0=120							
72055	教授K·Ⅱ	1=0=240	1=0=120							
72056	伟人杜克斯·阿尔克斯·Ⅱ	1=0=240	1=0=120							
72057	新月守护者佩尔守卫者·Ⅱ	1=0=240	1=0=120							
72058	咆哮的守卫奥尼德·Ⅱ	1=0=240	1=0=120							
72059	哭泣的雾之女王·Ⅱ	1=0=240	1=0=120							
72060	烈火之花杰姆斯托克·Ⅱ	1=0=240	1=0=120							
72061	凤凰拉巴诺克·Ⅱ	1=0=240	1=0=120							
72062	最后的挑战·Ⅱ	1=0=240	1=0=120							
73001	黑山洞窟	1=0=240	1=0=120							
73002	熔岩岛	1=0=240	1=0=120							
73003	蜥蜴人栖息地	1=0=240	1=0=120							
73004	龙骨荒漠	1=0=240	1=0=120							
73005	剧毒之森	1=0=240	1=0=120							
73006	沙芬特拉之岛	1=0=240	1=0=120							
73007	巨木丛林	1=0=240	1=0=120							
73008	符文沼泽	1=0=240	1=0=120							
73009	勇者遗迹	1=0=240	1=0=120							
73010	剧毒峡谷	1=0=240	1=0=120							
73011	魔力之源	1=0=240	1=0=120							
73012	梦的回廊	1=0=240	1=0=120							
73013	月光飞艇	1=0=240	1=0=120							
73014	熔岩孤岛	1=0=240	1=0=120							
73015	暴风瞭望台	1=0=240	1=0=120							
73016	蘑岩峡谷	1=0=240	1=0=120							
73017	赞龙的神殿	1=0=240	1=0=120							
73018	末日高地	1=0=240	1=0=120							
73019	神圣天堂南郊地牢	1=0=240	1=0=120							
73020	神圣天堂南城门	1=0=240	1=0=120							
73021	王城地下的神殿	1=0=240	1=0=120							
73022	上古地狱犬·Ⅲ	1=0=240	1=0=120							
73023	牛魔王·Ⅲ	1=0=240	1=0=120							
73024	守护者的未知领域·Ⅲ	1=0=240	1=0=120							
73025	狂暴大主教·Ⅲ	1=0=240	1=0=120							
73026	蜥蜴人栖息地·Ⅲ	1=0=240	1=0=120							
73027	龙骨荒漠·Ⅲ	1=0=240	1=0=120							
73028	剧毒之森·Ⅲ	1=0=240	1=0=120							
73029	勇者遗迹·Ⅲ	1=0=240	1=0=120							
73030	剧毒峡谷·Ⅲ	1=0=240	1=0=120							
73031	魔力之源·Ⅲ	1=0=240	1=0=120							
73032	巨木丛林·Ⅲ	1=0=240	1=0=120							
73033	沙漠前哨站·Ⅲ	1=0=240	1=0=120							
73034	缺德者城堡·Ⅲ	1=0=240	1=0=120							
73035	风蚀深渊·Ⅲ	1=0=240	1=0=120							
73036	沙岩入口·Ⅲ	1=0=240	1=0=120							
73037	雷兽荒野·Ⅲ	1=0=240	1=0=120							
